Timex;Timex Intelligent Quartz Yacht Racer TW2P44400 Herrenchronograph Massives Gehäuse;298;Pro;Tel.: +49 (0)361 34949980;Fax: +49 (0)36226951509
Howard;Howard circa 1930's;2,950;Pro;Tel.: [+1]  (310) 271 6615;Fax: [+1]  (310) 271 1473
Justex;Justex Schöne Und Feine Klassik Handaufzug Damenuhr;54;Pro;Tel.: 04762 3869857
Askania;Askania C. Bamberg Automatik Chronograph 44mm;2,659;Premium;Tel.: [+49] (0)711 - 933 089 0;Fax: [+49] (0)711 - 933 089 50
Volna;Volna Typhoon · VTH-SI-0004;1,805;Pro;Tel.: +852 2730 0889;Fax: +852 2730 6122;Mobile: +852 5489 8227
TB Buti;TB Buti Stealth Magnum Crono Lim. Edit. in fibra di carbonio -50%;7,482;Pro;Tel.: +39 0735658193;Fax: +39 0735652162;Mobile: +39 3357010928
Viceroy;Viceroy Yellow Gold "SOLD";887;Premium;Tel.: 0034 915784679
Andersen Genève;Andersen Genève « Montre à Tact Rousseau »;43,480;Pro;Tel.: + 41 61 681 94 40;Mobile: + 41 798700434
Andersen Genève;Andersen Genève WORLDTIMER-LIMITED EDITION;8,535;Seller;Tel.: [+32] 3 - 2341400;Fax: [+32] 3 - 2342232
Franc Vila;Franc Vila Timezone GMT Quantième Automatique;18,607;Pro;Tel.: +90 212 219 55 00-01-02;Fax: +90 212 219 55 03;Mobile: +90 551 232 8054
Franc Vila;Franc Vila 16 FVA7 Master Quantieme Automatique white gold;12,000;Pro;Tel.: +74952152115;Mobile: +79151555557
Gruen;Gruen circa 1953;700;Pro;Tel.: [+1]  (310) 271 6615;Fax: [+1]  (310) 271 1473
Askania;Askania C. Bamberg Carre Stahl Automatik 42x26mm;1,418;Premium;Tel.: [+49] (0)711 - 933 089 0;Fax: [+49] (0)711 - 933 089 50
Askania;Askania Taifun Stahl Automatik 45mm;2,604;Premium;Tel.: [+49] (0)711 - 933 089 0;Fax: [+49] (0)711 - 933 089 50
Pierre Kunz;Pierre Kunz Tourbillon 18k White Gold Gents;76,393;Pro;Tel.: [+44] (0)1279 461696;Fax: [+44] (0)1279 755502
Pierre Kunz;Pierre Kunz UVP 50000€  Grande Complication 18K RsG;19,898;Seller;Tel.: 0211-16828080;Fax: 0211-16828084
TB Buti;TB Buti Yanick Sport Cronografo Oro /Titanio "Batman" L.E.;7,205;Pro;Tel.: 0039 0541 693490;Fax: 0039 0541 699357;Mobile: 3356741921
Skagen;Skagen SKW2196 Damenuhr 26 mm;198;Seller;Tel.: [+49] - (0)2473 - 92 710 0;Fax: [+49] - (0)2473 - 92 710 10;Mobile: [+49] - (0)172 - 172 88 10
Skagen;Skagen 380XSSS1 Slimline Steel Damenuhr;132;Seller;Tel.: [+49] - (0)2473 - 92 710 0;Fax: [+49] - (0)2473 - 92 710 10;Mobile: [+49] - (0)172 - 172 88 10
Skagen;Skagen SKW2193 Damenuhr 26 mm;165;Seller;Tel.: [+49] - (0)2473 - 92 710 0;Fax: [+49] - (0)2473 - 92 710 10;Mobile: [+49] - (0)172 - 172 88 10
Franc Vila;Franc Vila FVa7 Men’s Watch Master Quantieme Stainless Steel Moonphase;10,249;Premium;Tel.: [+1] 206-658-7287
